Problem;candidateStateSearch;kbsc;main;wall-clock;max resident set size;Input States;Obs States;outputAPs
ampelv3;0,5083;0,0012;0,5178;0,54;19512;6;6;1
crossingv1;1,1508;0,0033;1,1632;1,18;20196;9;8;2
crossingv2;1,1378;0,0033;1,15;1,16;19984;9;8;2
detect_globally;0,0563;0,0008;0,0642;0,07;19340;5;4;1
detect_next;0,0558;0,0008;0,0637;0,07;19236;5;4;1
electricity_repair;0,0271;0,0015;0,0357;0,05;19956;3;4;2
light_bulb;0,0949;0,001;0,1065;0,12;19476;5;6;1
nas_01;0,1371;0,0006;0,1446;0,15;19396;4;4;1
numberv1;0,1342;0,0022;0,1448;0,15;19844;5;6;2
numberv4;18,1322;0,0286;18,1956;18,21;20740;9;13;4
numberv6;8729,8907;0,3065;8730,4478;2,25,30;26336;13;23;6
random_01;1,9748;0,0013;1,987;2;19580;10;9;1
three_coins;362,2462;0,007;326,2761;6,02,29;20108;9;15;3